Date,Close
,PRVI3.SA
2018-08-27,10.539999961853027
2018-08-28,10.539999961853027
2018-08-29,10.539999961853027
2018-08-30,10.539999961853027
2018-08-31,10.539999961853027
2018-09-04,10.539999961853027
2018-09-05,10.539999961853027
2018-09-06,10.539999961853027
2018-09-07,10.539999961853027
2018-09-10,10.539999961853027
2018-09-11,10.539999961853027
2018-09-12,10.539999961853027
2018-09-13,10.539999961853027
2018-09-14,10.539999961853027
2018-09-17,10.539999961853027
2018-09-18,10.539999961853027
2018-09-19,10.539999961853027
2018-09-20,10.539999961853027
2018-09-21,10.539999961853027
2018-09-24,10.539999961853027
2018-09-25,10.539999961853027
2018-09-26,10.539999961853027
2018-09-27,10.539999961853027
2018-09-28,10.539999961853027
2018-10-01,10.539999961853027
2018-10-02,10.539999961853027
2018-10-03,10.539999961853027
2018-10-04,10.539999961853027
2018-10-05,10.539999961853027
2018-10-08,10.539999961853027
2018-10-09,10.539999961853027
2018-10-10,10.539999961853027
2018-10-11,10.539999961853027
2018-10-12,10.539999961853027
2018-10-15,10.539999961853027
2018-10-16,10.539999961853027
2018-10-17,10.539999961853027
2018-10-18,10.539999961853027
2018-10-19,10.539999961853027
2018-10-22,10.539999961853027
2018-10-23,10.539999961853027
2018-10-24,10.539999961853027
2018-10-25,10.539999961853027
2018-10-26,10.539999961853027
2018-10-29,10.539999961853027
2018-10-30,10.539999961853027
2018-10-31,10.539999961853027
2018-11-01,10.539999961853027
2018-11-02,10.539999961853027
2018-11-05,10.539999961853027
2018-11-06,10.539999961853027
2018-11-07,10.539999961853027
2018-11-08,10.539999961853027
2018-11-09,10.539999961853027
2018-11-12,10.539999961853027
2018-11-13,10.539999961853027
2018-11-14,10.539999961853027
2018-11-15,10.539999961853027
2018-11-16,10.539999961853027
2018-11-19,10.539999961853027
2018-11-20,10.539999961853027
2018-11-21,10.539999961853027
2018-11-23,10.539999961853027
2018-11-26,10.539999961853027
2018-11-27,10.539999961853027
2018-11-28,10.539999961853027
2018-11-29,10.539999961853027
2018-11-30,10.539999961853027
2018-12-03,10.539999961853027
2018-12-04,10.539999961853027
2018-12-06,10.539999961853027
2018-12-07,10.539999961853027
2018-12-10,10.539999961853027
2018-12-11,10.539999961853027
2018-12-12,10.539999961853027
2018-12-13,10.539999961853027
2018-12-14,10.539999961853027
2018-12-17,10.539999961853027
2018-12-18,10.539999961853027
2018-12-19,10.539999961853027
2018-12-20,10.539999961853027
2018-12-21,10.539999961853027
2018-12-24,10.539999961853027
2018-12-26,10.539999961853027
2018-12-27,10.539999961853027
2018-12-28,10.539999961853027
2018-12-31,10.539999961853027
2019-01-02,10.539999961853027
2019-01-03,10.539999961853027
2019-01-04,10.539999961853027
2019-01-07,10.539999961853027
2019-01-08,10.539999961853027
2019-01-09,10.539999961853027
2019-01-10,10.539999961853027
2019-01-14,10.539999961853027
2019-01-15,10.539999961853027
2019-01-16,10.539999961853027
2019-01-17,10.539999961853027
2019-01-22,10.539999961853027
2019-01-23,10.539999961853027
2019-01-24,10.539999961853027
2019-01-28,10.539999961853027
2019-01-29,10.539999961853027
2019-01-30,10.539999961853027
2019-01-31,10.539999961853027
2019-02-01,10.539999961853027
2019-02-04,10.539999961853027
2019-02-05,10.539999961853027
2019-02-06,10.539999961853027
2019-02-07,10.539999961853027
2019-02-08,10.539999961853027
2019-02-11,10.539999961853027
2019-02-12,10.539999961853027
2019-02-13,10.539999961853027
2019-02-14,10.539999961853027
2019-02-15,10.539999961853027
